ID,Class
198366,1
198367,0
198368,1
198369,1
198370,1
198371,1
198372,0
198373,0
198374,1
198375,0
198376,0
198377,1
198378,0
198379,1
198380,0
198381,1
198382,0
198383,1
198384,1
198385,0
198386,1
198387,0
198388,1
198389,1
198390,0
198391,0
198392,1
198393,0
198394,0
198395,0
198396,1
198397,1
198398,1
198399,1
198400,1
198401,1
198402,1
198403,1
198404,1
198405,1
198406,0
198407,1
198408,1
198409,1
198410,1
198411,1
198412,1
198413,1
198414,1
198415,1
198416,0
198417,0
198418,1
198419,1
198420,1
198421,0
198422,1
198423,1
198424,1
198425,0
198426,0
198427,0
198428,1
198429,1
198430,0
198431,0
198432,1
198433,0
198434,0
198435,0
198436,1
198437,0
198438,1
198439,1
198440,1
198441,0
198442,1
198443,1
198444,0
198445,0
198446,1
198447,1
198448,1
198449,1
198450,0
198451,0
198452,1
198453,1
198454,1
198455,0
198456,1
198457,1
198458,1
198459,0
198460,1
198461,0
198462,0
198463,1
198464,0
198465,1
198466,0
198467,1
198468,1
198469,1
198470,1
198471,0
198472,0
198473,0
198474,0
198475,0
198476,0
198477,1
198478,0
198479,1
198480,0
198481,1
198482,1
198483,0
198484,0
198485,0
198486,0
198487,1
198488,1
198489,0
198490,0
198491,1
198492,1
198493,1
198494,1
198495,0
198496,1
198497,1
198498,1
198499,0
198500,0
198501,0
198502,1
198503,1
198504,0
198505,0
198506,1
198507,1
198508,0
198509,0
198510,0
198511,0
198512,0
198513,0
198514,1
198515,0
198516,0
198517,1
198518,1
198519,1
198520,1
198521,1
198522,1
198523,1
198524,0
198525,1
198526,1
198527,0
198528,0
198529,1
198530,1
198531,0
198532,0
198533,0
198534,0
198535,1
198536,0
198537,0
198538,1
198539,1
198540,1
198541,0
198542,0
198543,1
198544,1
198545,0
198546,1
198547,0
198548,1
198549,1
198550,1
198551,1
198552,1
198553,1
198554,1
198555,1
198556,0
198557,1
198558,0
198559,1
198560,1
198561,1
198562,1
198563,1
198564,1
198565,0
198566,0
198567,0
198568,1
198569,1
198570,1
198571,1
198572,1
198573,1
198574,1
198575,1
198576,0
198577,1
198578,1
198579,1
198580,0
198581,1
198582,1
198583,0
198584,0
198585,1
198586,0
198587,1
198588,1
198589,1
198590,1
198591,0
198592,0
198593,0
198594,0
198595,1
198596,0
198597,0
198598,1
198599,1
198600,0
198601,1
198602,1
198603,1
198604,1
198605,1
198606,1
198607,1
198608,0
198609,1
198610,1
198611,0
198612,1
198613,1
198614,1
198615,0
198616,0
198617,1
198618,0
198619,1
198620,1
198621,1
198622,1
198623,1
198624,1
198625,1
198626,1
198627,0
198628,1
198629,0
198630,1
198631,1
198632,1
198633,1
198634,1
198635,1
198636,1
198637,0
198638,0
198639,0
198640,1
198641,1
198642,0
198643,1
198644,1
198645,1
198646,1
198647,0
198648,1
198649,1
198650,1
198651,0
198652,1
198653,1
198654,0
198655,1
198656,1
198657,1
198658,1
198659,0
198660,1
198661,1
198662,1
198663,1
198664,0
198665,0
198666,1
198667,1
198668,1
198669,1
198670,1
198671,0
198672,0
198673,0
198674,0
198675,0
198676,1
198677,1
198678,1
198679,1
198680,0
198681,1
198682,1
198683,1
198684,1
198685,0
198686,0
198687,1
198688,0
198689,1
198690,1
198691,0
198692,1
198693,1
198694,1
198695,1
198696,1
198697,1
198698,0
198699,1
198700,0
198701,0
198702,0
198703,0
198704,0
198705,1
198706,1
198707,0
198708,1
198709,1
198710,1
198711,1
198712,0
198713,1
198714,0
198715,1
198716,1
198717,0
198718,1
198719,1
198720,1
198721,1
198722,0
198723,0
198724,1
198725,0
198726,1
198727,0
198728,0
198729,1
198730,1
198731,1
198732,1
198733,1
198734,1
198735,1
198736,1
198737,0
198738,1
198739,0
198740,0
198741,1
198742,1
198743,1
198744,1
198745,1
198746,1
198747,1
198748,0
198749,0
198750,1
198751,1
198752,1
198753,1
198754,1
198755,0
198756,1
198757,1
198758,0
198759,0
198760,0
198761,0
198762,1
198763,1
198764,0
198765,1
198766,1
198767,1
198768,1
198769,0
198770,1
198771,1
198772,1
198773,1
198774,1
198775,0
198776,0
198777,0
198778,1
198779,1
198780,1
198781,0
198782,0
198783,1
198784,0
198785,1
198786,0
198787,1
198788,1
198789,1
198790,1
198791,1
198792,1
198793,1
198794,1
198795,1
198796,1
198797,1
198798,0
198799,1
198800,1
198801,0
198802,0
198803,1
198804,1
198805,1
198806,1
198807,1
198808,0
198809,1
198810,1
198811,1
198812,0
198813,1
198814,1
198815,1
198816,1
198817,0
198818,1
198819,0
198820,1
198821,1
198822,1
198823,1
198824,1
198825,1
198826,1
198827,1
198828,1
198829,1
198830,1
198831,1
198832,1
198833,0
198834,1
198835,0
198836,1
198837,1
198838,0
198839,0
198840,1
198841,1
198842,1
198843,1
198844,1
198845,1
198846,1
198847,1
198848,1
198849,0
198850,0
198851,1
198852,1
198853,0
198854,0
198855,1
198856,1
198857,1
198858,1
198859,1
198860,0
198861,0
198862,1
198863,1
198864,1
198865,1
198866,0
198867,1
198868,1
198869,1
198870,0
198871,1
198872,1
198873,1
198874,0
198875,1
198876,1
198877,1
198878,1
198879,1
198880,1
198881,1
198882,1
198883,1
198884,1
198885,1
198886,1
198887,0
198888,0
198889,1
198890,0
198891,1
198892,1
198893,1
198894,1
198895,1
198896,1
198897,0
198898,1
198899,1
198900,0
198901,0
198902,1
198903,0
198904,1
198905,1
198906,1
198907,1
198908,1
198909,1
198910,1
198911,1
198912,1
198913,0
198914,1
198915,0
198916,0
198917,1
198918,0
198919,1
198920,1
198921,0
198922,1
198923,1
198924,1
198925,1
198926,0
198927,1
198928,1
198929,1
198930,0
198931,1
198932,0
198933,1
198934,1
198935,1
198936,1
198937,1
198938,0
198939,1
198940,0
198941,1
198942,0
198943,1
198944,0
198945,1
198946,1
198947,1
198948,0
198949,1
198950,1
198951,1
198952,0
198953,1
198954,1
198955,0
198956,1
198957,1
198958,1
198959,1
198960,1
198961,1
198962,1
198963,1
198964,1
