ID,Class
198366,1
198367,1
198368,0
198369,1
198370,1
198371,1
198372,1
198373,1
198374,1
198375,0
198376,1
198377,1
198378,1
198379,1
198380,1
198381,1
198382,0
198383,1
198384,1
198385,0
198386,1
198387,1
198388,1
198389,1
198390,0
198391,1
198392,1
198393,1
198394,1
198395,0
198396,1
198397,1
198398,1
198399,1
198400,1
198401,1
198402,0
198403,1
198404,1
198405,1
198406,1
198407,1
198408,1
198409,1
198410,1
198411,1
198412,1
198413,0
198414,1
198415,1
198416,0
198417,1
198418,1
198419,1
198420,1
198421,0
198422,1
198423,1
198424,1
198425,0
198426,1
198427,1
198428,1
198429,1
198430,1
198431,1
198432,1
198433,0
198434,0
198435,1
198436,1
198437,1
198438,1
198439,1
198440,1
198441,0
198442,0
198443,1
198444,1
198445,1
198446,1
198447,0
198448,1
198449,1
198450,1
198451,1
198452,1
198453,0
198454,1
198455,1
198456,1
198457,1
198458,1
198459,1
198460,1
198461,0
198462,0
198463,1
198464,1
198465,1
198466,1
198467,0
198468,1
198469,1
198470,1
198471,0
198472,0
198473,1
198474,0
198475,0
198476,1
198477,1
198478,0
198479,1
198480,1
198481,1
198482,1
198483,0
198484,1
198485,1
198486,0
198487,1
198488,1
198489,1
198490,0
198491,0
198492,1
198493,1
198494,1
198495,0
198496,1
198497,0
198498,1
198499,1
198500,0
198501,0
198502,1
198503,1
198504,1
198505,1
198506,1
198507,1
198508,1
198509,1
198510,1
198511,1
198512,1
198513,1
198514,1
198515,0
198516,1
198517,1
198518,1
198519,1
198520,1
198521,1
198522,1
198523,1
198524,0
198525,1
198526,1
198527,1
198528,1
198529,1
198530,1
198531,1
198532,0
198533,1
198534,1
198535,1
198536,1
198537,0
198538,1
198539,0
198540,1
198541,0
198542,0
198543,1
198544,1
198545,1
198546,1
198547,1
198548,1
198549,1
198550,1
198551,1
198552,0
198553,0
198554,1
198555,1
198556,0
198557,1
198558,1
198559,1
198560,1
198561,1
198562,1
198563,1
198564,1
198565,0
198566,1
198567,1
198568,1
198569,1
198570,1
198571,1
198572,1
198573,1
198574,1
198575,0
198576,1
198577,1
198578,1
198579,1
198580,0
198581,1
198582,1
198583,1
198584,0
198585,1
198586,0
198587,1
198588,1
198589,1
198590,1
198591,0
198592,1
198593,1
198594,1
198595,1
198596,1
198597,0
198598,1
198599,1
198600,0
198601,1
198602,1
198603,1
198604,0
198605,1
198606,1
198607,1
198608,0
198609,0
198610,1
198611,1
198612,1
198613,1
198614,1
198615,0
198616,1
198617,1
198618,1
198619,1
198620,0
198621,1
198622,1
198623,1
198624,1
198625,1
198626,1
198627,1
198628,1
198629,0
198630,1
198631,1
198632,1
198633,1
198634,1
198635,1
198636,1
198637,0
198638,1
198639,1
198640,1
198641,1
198642,1
198643,1
198644,1
198645,1
198646,1
198647,1
198648,1
198649,1
198650,1
198651,0
198652,1
